application_id,customer_id,application_date,loan_type,loan_amount_requested,loan_tenure_months,interest_rate_offered,purpose_of_loan,employment_status,monthly_income,cibil_score,property_ownership_status,applicant_age,gender,loan_status
fcfe919e-4140-4f5f-8aaf-91997a2411e2,CUST114840,2022-11-29,Personal Loan,635000.0,240,11.62,Medical Emergency,Student,49200.0,673,Rented,55,Other,Approved
beaca2c2-6779-477f-b9b7-78057e3c126b,CUST114085,2024-06-23,Education Loan,100000.0,240,11.48,Education,Unemployed,37200.0,612,Rented,25,Other,Declined
68b9b9fa-4518-4646-9929-deb7decb1d56,CUST106551,2024-08-20,Home Loan,541000.0,12,11.86,Medical Emergency,Salaried,78900.0,656,Rented,64,Female,Approved
10bb2424-c9be-4ede-b054-5943e4bed62b,CUST101064,2024-08-26,Education Loan,526000.0,120,12.18,Home Renovation,Salaried,40900.0,641,Owned,48,Male,Declined
8871f3c7-2228-44e3-b0e8-39416230bd86,CUST117446,2023-01-06,Personal Loan,898000.0,240,10.18,Home Renovation,Business Owner,40400.0,683,Rented,54,Other,Approved
547c2286-fa01-4e40-98f9-2f33766d7c5d,CUST104596,2024-10-07,Car Loan,582000.0,120,12.89,Business Expansion,Student,43100.0,670,Owned,65,Male,Approved
e0128907-4784-4cef-aa49-3b23a60cfae0,CUST103541,2023-09-01,Car Loan,1038000.0,12,10.23,Vehicle Purchase,Retired,86300.0,669,Rented,29,Female,Approved
62654e53-439d-443d-9f6f-615c849ab9b5,CUST106528,2024-01-18,Education Loan,444000.0,24,8.91,Vehicle Purchase,Business Owner,50500.0,749,Rented,50,Male,Approved
03f694f0-7672-4e8a-95dd-171d6f2b2eaf,CUST116930,2025-05-14,Education Loan,104000.0,120,12.62,Vehicle Purchase,Salaried,58700.0,743,Rented,45,Female,Approved
bd97c8c0-ea90-43f9-8e5a-1349a68ec000,CUST108035,2025-03-25,Education Loan,210000.0,36,11.92,Home Renovation,Unemployed,99600.0,791,Jointly Owned,61,Female,Approved
70ee3168-6ed6-425e-88d9-bceddc4e0f13,CUST110373,2024-11-28,Home Loan,100000.0,360,12.16,Medical Emergency,Self-Employed,35900.0,660,Owned,59,Male,Approved
7266ee7a-e22e-47eb-8afd-b27e1c5227f0,CUST112042,2022-07-23,Education Loan,336000.0,12,11.53,Debt Consolidation,Salaried,47500.0,674,Rented,55,Female,Approved
c8f3adff-4ecb-4cd6-b9d0-effc2933a44f,CUST107607,2025-05-24,Car Loan,875000.0,120,10.81,Vehicle Purchase,Retired,34100.0,677,Jointly Owned,59,Other,Approved
e34c390e-cb8b-4a04-bf79-72a4f0dab17e,CUST113540,2025-06-03,Home Loan,363000.0,360,10.07,Debt Consolidation,Retired,10000.0,634,Owned,52,Male,Declined
acf3c05f-1ffa-4552-9b3b-a3639615866c,CUST106700,2023-11-11,Home Loan,592000.0,360,7.87,Home Renovation,Salaried,79800.0,655,Owned,32,Other,Approved
67f2414d-26f4-4b4e-b8e2-4e9574418c7e,CUST105321,2024-03-30,Personal Loan,252000.0,12,12.07,Business Expansion,Unemployed,20000.0,687,Jointly Owned,24,Male,Approved
8b5ac393-e374-43d2-a746-ff3ff81be55f,CUST104446,2023-12-20,Business Loan,823000.0,240,10.58,Education,Self-Employed,28000.0,770,Rented,31,Male,Approved
b0616be2-64f6-4561-ba99-81fc675d494d,CUST101983,2025-02-23,Personal Loan,926000.0,60,14.05,Home Renovation,Retired,71600.0,750,Jointly Owned,26,Other,Approved
ff3973c9-c01b-418c-bdd1-3fd16d2fcfb0,CUST111627,2024-01-06,Car Loan,374000.0,240,10.13,Vehicle Purchase,Self-Employed,34300.0,675,Rented,25,Female,Approved
767ad456-79f3-4045-912e-f3d927e15a45,CUST111597,2024-02-02,Personal Loan,596000.0,36,9.89,Debt Consolidation,Salaried,113100.0,778,Jointly Owned,51,Male,Approved
dc84c31f-180c-478d-8d57-77a962aadf70,CUST117822,2022-08-10,Personal Loan,552000.0,360,9.34,Business Expansion,Unemployed,16600.0,688,Rented,51,Female,Approved
14cb5991-c857-4f0b-aa52-6a5092485ab5,CUST112350,2025-03-16,Personal Loan,706000.0,36,8.18,Home Renovation,Salaried,33800.0,771,Rented,22,Other,Approved
c0ee66ec-57b1-4007-86d5-5998fa3c8921,CUST113739,2023-10-27,Home Loan,509000.0,36,7.03,Vehicle Purchase,Unemployed,10000.0,596,Owned,46,Female,Declined
ed49abd8-e898-4dbc-9215-1514b7a39d09,CUST113497,2025-01-04,Business Loan,911000.0,60,12.73,Wedding,Self-Employed,82200.0,661,Jointly Owned,63,Female,Approved
d1b05115-e018-4741-8aa8-e5068bcd2484,CUST100101,2023-07-30,Car Loan,306000.0,240,10.29,Wedding,Business Owner,39500.0,646,Jointly Owned,30,Female,Declined
c6594526-6b38-47f4-93a7-7da2d05af201,CUST102942,2022-07-18,Personal Loan,604000.0,12,11.03,Education,Student,66000.0,661,Owned,39,Other,Approved
5321e651-3aa4-4a77-8f10-9f66771b3e27,CUST101748,2024-05-09,Home Loan,398000.0,240,8.87,Wedding,Student,54700.0,664,Rented,21,Male,Approved
6857e131-f03c-41b7-89ad-2097d51b6ae9,CUST109028,2022-10-26,Education Loan,518000.0,12,14.03,Home Renovation,Self-Employed,57400.0,704,Rented,61,Other,Approved
a6911b40-1664-4632-9063-18f7c11f684b,CUST119301,2023-12-12,Business Loan,460000.0,36,10.02,Wedding,Business Owner,75000.0,750,Jointly Owned,37,Other,Approved
25e16aa1-3574-4d4a-bfbe-48ec365748f8,CUST119419,2023-10-18,Car Loan,464000.0,60,8.58,Vehicle Purchase,Self-Employed,21500.0,697,Owned,28,Other,Approved
da73049d-f2dc-49f9-9963-aa87d164bba8,CUST112185,2023-09-24,Home Loan,100000.0,60,11.99,Vehicle Purchase,Business Owner,98100.0,732,Jointly Owned,25,Female,Approved
bb45766d-0451-4304-98e5-edc0e79a4a67,CUST107038,2023-08-05,Personal Loan,546000.0,60,12.08,Medical Emergency,Business Owner,10000.0,738,Jointly Owned,37,Male,Approved
bae01ad6-1b39-43f3-a635-58721321006f,CUST102299,2024-07-31,Personal Loan,242000.0,36,10.47,Wedding,Retired,12400.0,645,Owned,33,Female,Declined
8a7b710b-6114-4764-9b26-1387da4a967c,CUST114476,2024-07-11,Home Loan,427000.0,36,9.95,Medical Emergency,Business Owner,69300.0,606,Rented,36,Other,Declined
e6de9355-3e3d-46aa-8e87-c0c17c27a78d,CUST112612,2025-01-18,Home Loan,552000.0,24,9.48,Medical Emergency,Business Owner,11800.0,762,Owned,47,Other,Approved
e9d4b466-a852-45ad-8057-05f89a0be799,CUST108432,2023-12-13,Home Loan,384000.0,360,13.39,Vehicle Purchase,Salaried,34100.0,683,Jointly Owned,52,Other,Approved
a6ffcefd-ca2e-4e08-aedf-ca7436b77b36,CUST118130,2024-06-11,Education Loan,702000.0,12,7.7,Education,Retired,40300.0,747,Owned,28,Other,Approved
27ab215f-4f9c-492b-9c19-dedef1f690a0,CUST100826,2024-03-23,Personal Loan,100000.0,12,10.56,Home Renovation,Student,89500.0,623,Rented,50,Other,Declined
a0dac125-4c2b-4ea0-980b-2f68459b0d46,CUST105798,2023-02-27,Personal Loan,437000.0,360,8.85,Debt Consolidation,Student,62800.0,681,Owned,24,Male,Approved
c6a1247d-cb70-453b-bf02-80a183b07b04,CUST114720,2023-03-14,Business Loan,778000.0,60,12.85,Wedding,Salaried,71900.0,700,Owned,58,Male,Approved
81b999c0-5f34-4932-8e65-e7c683f63fe8,CUST112750,2022-06-14,Business Loan,939000.0,24,11.23,Vehicle Purchase,Business Owner,14200.0,688,Jointly Owned,33,Male,Approved
3d10b02b-7a94-4ef9-b390-8016becda9ed,CUST119077,2023-09-12,Car Loan,502000.0,360,9.89,Medical Emergency,Student,78100.0,710,Jointly Owned,53,Female,Approved
ffdf271f-8dad-4a4f-95d6-bfa83e5ac86c,CUST115477,2023-12-13,Car Loan,326000.0,36,7.9,Debt Consolidation,Salaried,72100.0,745,Owned,39,Female,Approved
04404b77-a7a1-4f7c-a4e5-5a55b9fc223c,CUST104237,2023-04-13,Education Loan,283000.0,36,10.58,Education,Unemployed,41300.0,540,Rented,36,Other,Declined
e05b1e47-847b-40a9-9b4f-5e96f586b665,CUST105722,2023-03-12,Personal Loan,459000.0,60,11.56,Business Expansion,Salaried,30800.0,799,Owned,25,Male,Approved
33e7f169-5538-485f-be15-016532feba90,CUST115935,2023-09-06,Car Loan,100000.0,360,8.93,Business Expansion,Self-Employed,77500.0,681,Owned,50,Female,Approved
5b649cd2-80ef-4ce6-b1d6-0f1221c983eb,CUST102548,2024-06-15,Education Loan,260000.0,36,12.25,Debt Consolidation,Student,75500.0,609,Jointly Owned,48,Male,Declined
8763bd0f-b62a-4498-8b90-3d6882751db2,CUST109412,2023-03-01,Business Loan,457000.0,120,12.83,Business Expansion,Self-Employed,64000.0,674,Jointly Owned,24,Male,Approved
d46a478d-e042-4f0e-8636-29aa0888fbcb,CUST102826,2023-12-03,Home Loan,501000.0,60,9.26,Medical Emergency,Retired,81200.0,727,Owned,58,Female,Approved
ac39e669-2d74-4ac2-996c-19bcddec2669,CUST114308,2023-09-04,Personal Loan,606000.0,240,11.67,Medical Emergency,Student,28400.0,794,Jointly Owned,59,Male,Approved
ac72d24d-d691-4a19-864d-f0da6a7ab788,CUST109653,2023-06-13,Education Loan,545000.0,240,7.0,Wedding,Retired,88000.0,770,Jointly Owned,28,Female,Approved
f38a6bda-3136-4c27-a24c-ce00e6eced7f,CUST118568,2022-10-17,Education Loan,184000.0,240,8.7,Debt Consolidation,Salaried,53300.0,716,Jointly Owned,38,Male,Approved
4e7adde5-a563-43e8-b084-35651f0c2902,CUST105005,2024-11-18,Business Loan,290000.0,360,9.92,Home Renovation,Student,18100.0,687,Jointly Owned,33,Male,Approved
f6ffdc49-2017-475e-969f-38103bec2b8e,CUST117403,2022-09-16,Home Loan,748000.0,60,7.8,Education,Self-Employed,43500.0,686,Rented,39,Male,Approved
647b9928-6222-4b2d-8229-743f0d719a81,CUST102837,2024-06-14,Car Loan,807000.0,36,10.93,Business Expansion,Business Owner,90600.0,666,Rented,32,Male,Approved
54b4898a-88e0-4a8f-9be8-1c6ff7a79fea,CUST100104,2023-07-07,Education Loan,270000.0,60,9.85,Home Renovation,Salaried,46000.0,673,Owned,52,Female,Approved
72a6ee2a-e0de-4b8d-ae1d-fce2b379b79b,CUST106412,2022-10-29,Personal Loan,1193000.0,120,7.0,Education,Salaried,10000.0,696,Rented,64,Female,Approved
37610e06-c31c-4195-83db-56b2f1925b67,CUST101521,2024-09-11,Home Loan,242000.0,360,11.33,Education,Business Owner,64600.0,645,Owned,26,Male,Declined
f62dab26-774b-46a9-9604-0d36ba63a0c6,CUST108976,2024-04-27,Home Loan,811000.0,120,9.24,Education,Student,57700.0,717,Rented,52,Male,Approved
b2ecc447-06bb-476d-946b-24c1bb4ec716,CUST105107,2023-10-17,Business Loan,834000.0,12,12.38,Vehicle Purchase,Student,51200.0,803,Jointly Owned,37,Other,Approved
68aed59c-fa14-48ca-a281-9ed506f133c1,CUST114608,2022-07-03,Home Loan,603000.0,36,9.52,Vehicle Purchase,Student,43600.0,737,Rented,29,Female,Approved
2dd61d97-e8a4-4516-bc55-cab7013d2a21,CUST112775,2022-08-31,Home Loan,619000.0,360,7.0,Business Expansion,Student,58000.0,760,Rented,56,Male,Approved
7b9d400c-de80-4fe5-97bf-44c1b80f9661,CUST112548,2024-04-12,Car Loan,351000.0,60,8.15,Vehicle Purchase,Self-Employed,42100.0,750,Jointly Owned,45,Female,Approved
5e14706a-6c14-4a55-9217-71c077acbf4a,CUST114205,2023-09-14,Car Loan,547000.0,120,8.04,Debt Consolidation,Unemployed,43000.0,694,Owned,34,Other,Approved
9b9fba4b-a2b0-45fb-8501-538bb7faa143,CUST103230,2024-05-16,Personal Loan,403000.0,12,13.45,Debt Consolidation,Salaried,39600.0,759,Rented,32,Male,Approved
4e2df6d9-2868-47d8-bbb5-da1b38f66700,CUST104165,2022-11-03,Home Loan,180000.0,240,8.21,Debt Consolidation,Unemployed,69800.0,742,Jointly Owned,28,Female,Approved
2872d468-dd66-40a1-a97a-bc26121eb612,CUST117404,2024-08-06,Personal Loan,351000.0,36,12.74,Wedding,Business Owner,42400.0,727,Jointly Owned,45,Female,Approved
88de8ce6-1687-451c-b25e-8710d0d6d2cd,CUST111645,2023-07-18,Education Loan,931000.0,120,7.89,Debt Consolidation,Business Owner,67900.0,640,Owned,64,Other,Declined
105ddb64-ed28-40be-9994-1aaab757af24,CUST106403,2024-08-11,Business Loan,230000.0,360,9.41,Business Expansion,Student,62600.0,755,Jointly Owned,64,Female,Approved
b88d4c12-dd07-4f82-90cd-931ca5fa2ac3,CUST117261,2023-06-30,Business Loan,497000.0,60,11.02,Debt Consolidation,Salaried,79900.0,770,Jointly Owned,33,Male,Approved
64eba87d-cdc9-4352-8f92-be36eedd4db8,CUST118109,2025-01-16,Home Loan,100000.0,24,10.95,Home Renovation,Self-Employed,22800.0,714,Owned,36,Female,Approved
ded12148-5a6f-4cc1-9b86-4dbc997b2ffe,CUST112171,2023-12-16,Personal Loan,718000.0,12,8.73,Home Renovation,Business Owner,59300.0,717,Jointly Owned,24,Other,Approved
8f785583-ba80-4a8e-a2d4-0e6dcb3114e1,CUST119191,2023-03-29,Car Loan,404000.0,240,11.41,Home Renovation,Salaried,94900.0,753,Owned,55,Other,Approved
b4651553-a6d1-488b-9dd6-0a9af1ff8f44,CUST110573,2022-11-26,Car Loan,591000.0,120,7.0,Business Expansion,Business Owner,60300.0,779,Rented,26,Other,Approved
e1d8dcf6-ff2b-4426-a1ba-2b6054327a79,CUST111848,2024-11-24,Business Loan,694000.0,12,8.92,Home Renovation,Unemployed,10000.0,806,Owned,33,Female,Approved
13a721c5-dd08-4dd5-b569-8678e5ca0ab4,CUST115389,2023-05-01,Business Loan,175000.0,120,9.85,Business Expansion,Salaried,69500.0,652,Owned,29,Female,Approved
6f462091-ce4a-416e-a806-bd709e7ae162,CUST101832,2023-12-06,Personal Loan,301000.0,360,13.64,Business Expansion,Self-Employed,73800.0,692,Owned,51,Female,Approved
6fd6a3ba-2009-40ec-981f-115bcee806db,CUST105188,2022-07-28,Car Loan,196000.0,60,12.91,Debt Consolidation,Student,27100.0,759,Rented,28,Other,Approved
33414c40-a4f5-4602-8d19-9ab8db4e290c,CUST106161,2023-11-29,Personal Loan,975000.0,120,10.63,Debt Consolidation,Salaried,71800.0,704,Rented,56,Female,Approved
9ddf706a-1d7b-4e6a-af82-84583b26de7a,CUST102580,2023-12-24,Car Loan,472000.0,24,10.99,Home Renovation,Student,59300.0,617,Rented,52,Female,Declined
608bdcee-cb4b-4357-a824-71b16f3cca18,CUST111734,2022-12-27,Business Loan,151000.0,36,12.04,Business Expansion,Business Owner,30700.0,596,Rented,51,Male,Declined
6add97eb-a717-49e6-9e5c-d70fa706a91a,CUST108974,2025-02-23,Car Loan,314000.0,360,9.47,Business Expansion,Retired,70400.0,677,Owned,57,Female,Approved
e591bfbf-9dc5-4857-a813-b2e75e90651f,CUST114470,2025-01-03,Home Loan,664000.0,360,7.35,Business Expansion,Salaried,74000.0,704,Owned,27,Other,Approved
f522bf08-c8f0-4b49-b03b-e0e5871e88d9,CUST100165,2023-12-19,Personal Loan,254000.0,60,12.91,Vehicle Purchase,Unemployed,60300.0,730,Jointly Owned,25,Female,Approved
2424f3d0-ba41-4ebb-9979-f0f9c8603c9d,CUST108592,2023-04-04,Education Loan,1204000.0,60,11.94,Medical Emergency,Unemployed,98400.0,732,Rented,58,Female,Approved
07511a0b-f081-49fc-b76e-1ab48a0f2f53,CUST114703,2023-01-26,Education Loan,340000.0,12,9.45,Wedding,Business Owner,69100.0,710,Rented,29,Other,Approved
3b1e1806-ed3d-4747-8dad-4a101605a615,CUST118462,2025-01-24,Personal Loan,188000.0,60,8.49,Medical Emergency,Self-Employed,37100.0,643,Rented,65,Female,Declined
b03771e7-4a69-4509-8712-32a549176f01,CUST111002,2022-12-23,Personal Loan,1002000.0,360,9.9,Medical Emergency,Self-Employed,77800.0,710,Owned,61,Female,Approved
2704fdc2-942a-4fe1-ae83-a7c27fcfe167,CUST118275,2025-01-14,Business Loan,158000.0,36,11.2,Home Renovation,Self-Employed,45100.0,634,Owned,63,Other,Declined
397e4066-6bee-4f55-9229-56d8500cafd1,CUST107100,2023-10-31,Business Loan,656000.0,12,10.5,Debt Consolidation,Student,44500.0,730,Rented,40,Male,Approved
79267b9d-2ce5-455d-aa4d-40a7d9340d68,CUST103048,2023-09-14,Car Loan,192000.0,60,8.16,Wedding,Business Owner,60600.0,720,Owned,37,Female,Approved
ea0fd55f-7f80-4684-a2d0-cec3feb159df,CUST105686,2023-05-06,Home Loan,790000.0,120,10.17,Wedding,Unemployed,81400.0,816,Jointly Owned,55,Male,Approved
05ffec0e-c02c-4cc7-8768-65a66248679d,CUST109306,2022-07-29,Car Loan,405000.0,24,11.0,Debt Consolidation,Unemployed,70800.0,689,Jointly Owned,24,Female,Approved
03dec5b4-bd1e-4d59-ae23-e3023bb10990,CUST113285,2023-04-23,Car Loan,158000.0,12,10.54,Medical Emergency,Salaried,51900.0,605,Rented,33,Female,Declined
ed5ecb1c-6a5d-43a4-8d17-b8e944ae9ba6,CUST109522,2023-09-15,Personal Loan,329000.0,120,8.52,Business Expansion,Self-Employed,73800.0,635,Owned,55,Male,Declined
e89f49ce-c91e-4acb-b980-63553c30a9c4,CUST110924,2025-01-06,Car Loan,458000.0,360,7.76,Debt Consolidation,Business Owner,50900.0,788,Owned,51,Male,Approved
404f8884-bd58-474e-87e7-7736aa796e90,CUST117007,2024-03-28,Car Loan,118000.0,240,7.0,Home Renovation,Student,56200.0,707,Jointly Owned,50,Male,Approved
17d72a46-3583-45f8-bdb1-a54c1e674f85,CUST100444,2022-08-29,Education Loan,660000.0,36,11.03,Wedding,Student,17400.0,716,Owned,50,Other,Approved
03645532-3e6f-4776-9255-d6e58c24e18f,CUST100622,2022-08-09,Business Loan,480000.0,360,13.56,Education,Business Owner,97100.0,666,Rented,54,Female,Approved
47cae89b-5973-4e51-a937-5654cf1c9dbb,CUST103506,2024-03-16,Education Loan,350000.0,120,8.77,Debt Consolidation,Self-Employed,58100.0,648,Jointly Owned,36,Male,Declined
bc7cf1ff-7d1e-4e1e-87c3-6f20efa94b3e,CUST115172,2023-11-13,Education Loan,561000.0,120,11.79,Wedding,Student,21700.0,593,Jointly Owned,48,Male,Declined
1af6d8e5-dd99-4ae6-ba5c-3d51c73f994b,CUST113957,2025-01-01,Car Loan,100000.0,240,10.21,Education,Self-Employed,70600.0,651,Jointly Owned,62,Female,Approved
c9695df2-8224-4d74-b4b5-dd5dc71da0f2,CUST102613,2023-12-28,Home Loan,656000.0,12,9.86,Debt Consolidation,Business Owner,49800.0,692,Jointly Owned,62,Female,Approved
75f57b32-375d-4d0e-8a08-f812228c030f,CUST116370,2023-04-29,Personal Loan,205000.0,360,10.56,Business Expansion,Business Owner,70700.0,646,Jointly Owned,39,Male,Declined
524b7927-d89b-4302-a135-e228ee567442,CUST115049,2024-12-04,Education Loan,690000.0,240,8.22,Debt Consolidation,Salaried,59900.0,730,Rented,26,Other,Approved
06926072-c7e3-4a45-a4a0-d56c72743656,CUST114668,2025-01-11,Car Loan,194000.0,240,12.5,Education,Business Owner,39100.0,659,Jointly Owned,40,Male,Approved
f411e219-49c4-4119-a89b-6a3d42e32634,CUST103944,2023-02-11,Business Loan,860000.0,360,9.09,Medical Emergency,Retired,39700.0,685,Owned,22,Female,Approved
c34f6c56-a5a1-4296-a0e3-79df49b7908f,CUST113880,2024-04-07,Car Loan,527000.0,60,12.1,Medical Emergency,Salaried,21100.0,710,Owned,36,Male,Approved
ea2ef262-0c4e-4f1e-bdec-f2ece2979e64,CUST118851,2022-11-21,Education Loan,100000.0,60,9.62,Medical Emergency,Self-Employed,148600.0,692,Rented,44,Male,Approved
d3e2fa51-616a-4713-929e-290d9aaa7085,CUST117918,2023-10-04,Education Loan,842000.0,36,8.23,Debt Consolidation,Unemployed,52100.0,684,Jointly Owned,50,Female,Approved
267fc223-94f7-4f75-8842-a303ca92ed9d,CUST113941,2024-08-08,Education Loan,170000.0,24,10.55,Debt Consolidation,Unemployed,27500.0,736,Owned,42,Male,Approved
8c3ef5fa-bf07-448e-87a0-f5a4c92c7f04,CUST118241,2023-06-21,Car Loan,132000.0,24,13.99,Business Expansion,Salaried,32600.0,702,Jointly Owned,35,Male,Approved
08eac160-1aaf-41f5-a0cd-2baa6eb04db8,CUST111990,2024-06-30,Business Loan,405000.0,120,9.95,Vehicle Purchase,Business Owner,36900.0,617,Owned,57,Female,Declined
9ba0ebe6-732f-4a25-aaca-05c7445e2505,CUST102162,2024-11-03,Car Loan,783000.0,36,10.62,Business Expansion,Unemployed,62500.0,714,Owned,53,Other,Approved
a58f75eb-1a08-4e36-bc46-aabaaf2694c0,CUST112048,2024-04-01,Personal Loan,893000.0,60,7.32,Education,Salaried,75400.0,692,Jointly Owned,58,Male,Approved
8bd88ed8-1415-4384-8efa-4554f072def8,CUST118270,2024-05-11,Car Loan,268000.0,12,8.26,Debt Consolidation,Student,44900.0,679,Jointly Owned,45,Female,Approved
70d3dad3-547d-42a8-9e1a-c6935ca8bf55,CUST118124,2023-02-19,Personal Loan,966000.0,12,13.95,Medical Emergency,Business Owner,92700.0,633,Jointly Owned,46,Male,Declined
1a9a1470-d936-4441-a9e6-2b4b17000b40,CUST116062,2024-03-07,Education Loan,542000.0,60,9.73,Home Renovation,Business Owner,92100.0,617,Rented,22,Male,Declined
f21c7f6b-56b4-40e6-839a-4d6d0eda9c94,CUST116755,2023-05-15,Personal Loan,118000.0,120,9.07,Wedding,Business Owner,24700.0,714,Rented,63,Female,Approved
2a004cc0-08ba-476c-8b7e-5c44f477ef53,CUST103825,2023-11-16,Car Loan,439000.0,120,9.43,Medical Emergency,Business Owner,79300.0,671,Rented,42,Other,Approved
0abc2f1c-8cb3-42f3-968e-a21011e5eb99,CUST114837,2023-07-21,Car Loan,632000.0,60,11.36,Business Expansion,Self-Employed,39100.0,707,Owned,57,Female,Approved
567fa403-7e26-422e-b654-696abff9d6f5,CUST112472,2025-01-31,Education Loan,764000.0,36,10.62,Vehicle Purchase,Salaried,57900.0,713,Owned,48,Female,Approved
09491106-2f16-49f3-9c5d-da0ff428a58e,CUST104607,2023-04-27,Home Loan,458000.0,12,10.98,Wedding,Retired,62200.0,654,Owned,33,Other,Approved
f3a8ee57-f583-4638-8f07-fede9dfa9f62,CUST109411,2022-09-06,Home Loan,621000.0,240,10.39,Medical Emergency,Salaried,27300.0,709,Jointly Owned,23,Female,Approved
aba921a1-cd72-40fe-9db3-d8ee3cae9333,CUST106434,2022-10-06,Education Loan,334000.0,240,10.86,Wedding,Retired,53400.0,715,Jointly Owned,22,Other,Approved
d0757a1b-398d-4a3d-ad97-66766100577a,CUST112537,2024-11-28,Education Loan,800000.0,120,10.57,Vehicle Purchase,Self-Employed,58100.0,664,Rented,34,Other,Approved
7dd7968c-a381-4c5e-94a1-d55767782e05,CUST103115,2024-03-15,Home Loan,1106000.0,360,10.53,Business Expansion,Unemployed,56300.0,689,Jointly Owned,27,Other,Approved
326dd0cd-a06e-4e97-8250-9d4d754b028e,CUST111573,2023-01-16,Business Loan,100000.0,12,9.63,Debt Consolidation,Salaried,50500.0,673,Owned,49,Female,Approved
512e2300-b955-4faa-9a0d-8943ab584a48,CUST113842,2022-08-15,Education Loan,100000.0,36,10.76,Vehicle Purchase,Student,53600.0,698,Owned,48,Other,Approved
71d1d65d-249b-4064-948c-fc54cbb76165,CUST104779,2025-02-13,Home Loan,965000.0,240,9.38,Vehicle Purchase,Self-Employed,10000.0,738,Jointly Owned,64,Female,Approved
86c9fe63-a82f-4e34-a147-5f150b4216bc,CUST102032,2024-03-09,Home Loan,457000.0,24,8.65,Education,Self-Employed,61900.0,647,Rented,63,Female,Declined
ac387c26-e791-484d-bce1-186ccb9c640a,CUST117564,2022-07-14,Education Loan,108000.0,240,13.24,Home Renovation,Retired,40000.0,768,Owned,54,Other,Approved
227d089e-b349-4dd0-9421-61aeeaf43ea5,CUST106652,2024-04-23,Education Loan,874000.0,12,7.34,Vehicle Purchase,Business Owner,31300.0,724,Jointly Owned,58,Other,Approved
8b20aaf1-3e03-4cb9-85fc-9708c3ab46dd,CUST115250,2024-09-10,Business Loan,335000.0,360,8.41,Debt Consolidation,Unemployed,58900.0,731,Rented,21,Female,Approved
18c494c6-0ac7-4dcb-9862-4cc460ed89f9,CUST100085,2023-05-15,Education Loan,844000.0,60,10.72,Wedding,Student,37500.0,784,Jointly Owned,46,Male,Approved
161ee3a1-2e80-4a34-8e6b-e699b5861b73,CUST106028,2024-02-10,Business Loan,100000.0,24,11.21,Education,Self-Employed,10000.0,679,Owned,24,Other,Approved
